title,year,director,cast,imdb_rating
The Shawshank Redemption,1994,Frank Darabont,"Tim Robbins, Morgan Freeman",9.3
The Godfather,1972,Francis Ford Coppola,"Marlon Brando, Al Pacino",9.2
The Dark Knight,2008,Christopher Nolan,"Christian Bale, Heath Ledger",9
The Godfather: Part II,1974,Francis Ford Coppola,"Al Pacino, Robert De Niro",9
Pulp Fiction,1994,Quentin Tarantino,"John Travolta, Uma Thurman",8.9
Schindler's List,1993,Steven Spielberg,"Liam Neeson, Ralph Fiennes",8.9
The Lord of the Rings: The Return of the King,2003,Peter Jackson,"Elijah Wood, Viggo Mortensen",8.9
"The Good, the Bad and the Ugly",1966,Sergio Leone,"Clint Eastwood, Eli Wallach",8.9
12 Angry Men,1957,Sidney Lumet,"Henry Fonda, Lee J. Cobb",8.9
Inception,2010,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt",8.8
The Lord of the Rings: The Fellowship of the Ring,2001,Peter Jackson,"Elijah Wood, Ian McKellen",8.8
Forrest Gump,1994,Robert Zemeckis,"Tom Hanks, Robin Wright",8.8
Fight Club,1999,David Fincher,"Brad Pitt, Edward Norton",8.8
Star Wars: Episode V - The Empire Strikes Back,1980,Irvin Kershner,"Mark Hamill, Harrison Ford",8.8
Goodfellas,1990,Martin Scorsese,"Robert De Niro, Ray Liotta",8.7
The Matrix,1999,Lana Wachowski,"Keanu Reeves, Laurence Fishburne",8.7
The Lord of the Rings: The Two Towers,2002,Peter Jackson,"Elijah Wood, Ian McKellen",8.7
One Flew Over the Cuckoo's Nest,1975,Milos Forman,"Jack Nicholson, Louise Fletcher",8.7
Seven Samurai,1954,Akira Kurosawa,"Toshirô Mifune, Takashi Shimura",8.7
Interstellar,2014,Christopher Nolan,"Matthew McConaughey, Anne Hathaway",8.6
Léon: The Professional,1994,Luc Besson,"Jean Reno, Gary Oldman",8.6
The Silence of the Lambs,1991,Jonathan Demme,"Jodie Foster, Anthony Hopkins",8.6
Saving Private Ryan,1998,Steven Spielberg,"Tom Hanks, Matt Damon",8.6
Se7en,1995,David Fincher,"Morgan Freeman, Brad Pitt",8.6
Star Wars: Episode IV - A New Hope,1977,George Lucas,"Mark Hamill, Harrison Ford",8.6
The Usual Suspects,1995,Bryan Singer,"Kevin Spacey, Gabriel Byrne",8.6
